1	28	0	3	-21396.7047443206	-33128.2922962322	-5917.57796178991
1	26	0	5	-16766.8857440481	-1805.33118621179	637.020549507332
1	46	0	3	-20788.3775404769	11655.7914274848	-9140.76315082769
1	33	1	1	-21048.7890908380	-8983.59196360070	9719.67931401301
1	47	0	4	-10012.2314988383	-26865.2701123830	-3521.87112823617
1	38	0	5	-11161.4772743830	51790.7716642397	-13441.3057709556
1	31	0	0	-18297.7195494006	-12508.3879447786	-5803.41074902532
1	60	0	1	-13194.4392956601	57282.2921737137	-11427.7207372822
1	46	0	1	-13761.2186350965	-8596.12114923096	20691.2487925742
0	23	1	0	-17508.0766634354	-22149.2436877774	6629.57602007558
1	44	0	3	-21449.4114890447	-3070.04579374534	-3625.70027290756
0	25	0	0	-19030.0233543176	-20421.2535230767	-4215.12180932415
0	26	0	0	-21320.8492935113	14343.4354481738	-7532.38708007142
1	45	0	0	-17313.7372076976	-8791.75483855769	34202.2757927935
1	28	0	2	406915.957491999	-23550.4352144676	-2778.85006751443
0	65	0	0	14670.9655924801	-31551.3239996462	1398.42710486113
1	63	0	1	65760.0274883707	-12957.1649016223	1026.29886237510
0	34	0	0	4123.36643597658	57774.2097419412	27911.8409216793
0	22	0	0	-20555.4849748616	13670.2042322444	-14871.7024407462
0	54	0	0	6770.00309580221	-10056.2960523367	-5556.47908243271
0	22	0	0	-12170.4975542063	-16306.4678130861	10741.6760185548
1	28	0	1	-20489.9709533328	-7449.32265722362	-12556.7641918322
0	42	0	0	-20291.7035695256	-24544.9028968998	-7573.79360850431
0	57	0	0	-13683.7089081171	-7944.84878494145	2712.07408114081
0	67	0	0	-17456.4268847557	9200.46971881116	-10116.7451529570
0	40	0	0	-19367.0516526998	-17263.6428359969	-4226.77163374662
0	41	1	0	-21212.7927749856	-3269.29731782897	-4448.52435522345
1	40	1	6	-20065.7575053901	-8490.93520391849	12569.7794836883
0	50	0	0	-15847.7074637440	34734.3107745435	-9287.72698395879
1	50	0	5	3432.00624170077	63152.9113338791	-3076.45312039959
1	25	0	0	-21044.1258862233	-7243.16745444926	-9465.09217321330
0	40	0	0	-21234.5745983780	-6772.83377763051	-9762.66519635039
0	48	0	0	-16496.4303394252	-12295.9635355764	-2379.12860541219
0	23	0	0	-18706.1518996155	22411.4984261871	32486.6583314481
